Time,timefit,Condition,Gate,TOF,Extinction,Green,logGreen
T0,0,High -,R4,2321,2512,1405.00,7.247792582
T0,0,High -,R4,1885,1854,3323.00,8.108623268
T0,0,High -,R4,1544,2444,1034.00,6.941190055
T0,0,High -,R4,1771,2498,1333.00,7.19518732
T0,0,High -,R4,1997,2051,3616.00,8.193123722
T0,0,High -,R4,2012,2877,2843.00,7.952615112
T0,0,High -,R4,1723,2447,1355.00,7.211556733
T0,0,High -,R4,2086,2441,2176.00,7.685243608
T0,0,High -,R4,1660,2384,1271.00,7.147559271
T0,0,High -,R4,2151,2843,2309.00,7.744569809
T0,0,High -,R4,1583,2343,2505.00,7.826044014
T0,0,High -,R4,1438,1556,2383.00,7.776115477
T0,0,High -,R4,1965,2349,1404.00,7.247080585
T0,0,High -,R4,2148,2895,1307.00,7.175489714
T0,0,High -,R4,1999,2274,2629.00,7.874358825
T0,0,High -,R4,2020,2599,1453.00,7.281385664
T0,0,High -,R4,2437,3122,1531.00,7.333676396
T0,0,High -,R4,1805,2050,1187.00,7.079184395
T0,0,High -,R4,1981,2986,2631.00,7.875119281
T0,0,High -,R4,2369,2965,1320.00,7.185387016
T0,0,High -,R4,2411,2975,1168.00,7.063048163
T0,0,High -,R4,2348,3211,1191.00,7.082548569
T0,0,High -,R4,2236,2610,1136.00,7.035268599
T0,0,High -,R4,2605,3311,1510.00,7.31986493
T0,0,High -,R4,1601,2017,1633.00,7.398174093
T0,0,High -,R4,2084,2547,986.00,6.893656355
T0,0,High -,R4,2403,2986,3207.00,8.0730912
T0,0,High -,R4,1599,2244,906.00,6.809039306
T0,0,High -,R4,1951,2993,2780.00,7.930206207
T0,0,High -,R4,2546,3660,1334.00,7.195937226
T0,0,High -,R4,1639,2267,938.00,6.843749949
T0,0,High -,R4,2007,2492,1732.00,7.457032089
T0,0,High -,R4,2790,2699,1276.00,7.151485464
T0,0,High -,R4,2020,2556,1693.00,7.434257382
T0,0,High -,R4,2134,2272,3816.00,8.246958033
T0,0,High -,R4,2197,2654,1139.00,7.037905963
T0,0,High -,R4,1289,1637,1815.00,7.503840747
T0,0,High -,R4,1715,2043,1575.00,7.362010551
T0,0,High -,R4,1496,2353,953.00,6.859614904
T0,0,High -,R4,2087,2267,1357.00,7.21303166
T0,0,High -,R4,2328,2825,1210.00,7.098375639
T0,0,High -,R4,2338,3014,1419.00,7.257707677
T0,0,High -,R4,2465,2741,1219.00,7.105786129
T0,0,High -,R4,1924,2074,1297.00,7.167809184
T0,0,High -,R4,1907,2690,2553.00,7.845024417
T0,0,High -,R4,2596,3072,2403.00,7.784473236
T0,0,High -,R4,2071,2564,1341.00,7.201170883
T0,0,High -,R4,2384,3133,1307.00,7.175489714
T0,0,High -,R4,1959,2626,961.00,6.867974409
T0,0,High -,R4,2278,2842,2713.00,7.905810313
T0,0,High -,R4,2166,3377,1566.00,7.356279877
T0,0,High -,R4,2464,3576,1131.00,7.030857476
T0,0,High -,R4,2317,2764,2714.00,7.90617884
T0,0,High -,R4,2148,2783,1166.00,7.061334367
T0,0,High -,R4,2034,2817,2871.00,7.96241568
T0,0,High -,R4,2081,3254,2030.00,7.615791072
T0,0,High -,R4,2109,2613,1417.00,7.25629724
T0,0,High -,R4,2550,2226,1870.00,7.53369371
T0,0,High -,R4,1514,1900,2029.00,7.61529834
T0,0,High -,R4,1930,2534,3272.00,8.093156698
T0,0,High -,R4,1809,2075,2508.00,7.827240902
T0,0,High -,R4,1772,2490,2277.00,7.730614066
T0,0,High -,R4,2228,1997,1277.00,7.152268856
T0,0,High -,R4,1984,3019,1386.00,7.23417718
T0,0,High -,R4,2170,2535,3116.00,8.044305407
T0,0,High -,R4,1637,1533,2551.00,7.844240718
T0,0,High -,R4,2129,3032,1015.00,6.922643891
T0,0,High -,R4,2459,3090,1228.00,7.113142109
T0,0,High -,R4,1641,2484,1317.00,7.183111702
T0,0,High -,R4,2137,2759,1324.00,7.188412736
T0,0,High -,R4,1307,1958,1315.00,7.181591945
T0,0,High -,R4,2334,3212,1144.00,7.042286172
T0,0,High -,R4,1890,2976,1241.00,7.123672785
T0,0,High -,R4,1639,2385,2019.00,7.610357618
T0,0,High -,R4,1589,2576,881.00,6.781057626
T0,0,High -,R4,2175,2800,1451.00,7.280008253
T0,0,High -,R4,1342,2180,1329.00,7.192182059
T0,0,High -,R4,1832,2961,1728.00,7.454719949
T0,0,High -,R4,1393,2086,2424.00,7.793174347
T0,0,High -,R4,2647,3198,2382.00,7.77569575
T0,0,High -,R4,1911,2363,1630.00,7.396335294
T0,0,High -,R4,1531,2198,2040.00,7.620705087
T0,0,High -,R4,1952,2799,1324.00,7.188412736
T0,0,High -,R4,2750,3749,1430.00,7.265429723
T0,0,High -,R4,1608,2015,2760.00,7.922985959
T0,0,High -,R4,1528,2106,1145.00,7.043159916
T0,0,High -,R4,1783,2766,2900.00,7.972466016
T0,0,High -,R4,1782,2506,1794.00,7.492203043
T0,0,High -,R4,1763,2095,2510.00,7.828038032
T0,0,High -,R4,1807,2380,978.00,6.88550967
T0,0,High -,R4,2145,2406,3234.00,8.08147504
T0,0,High -,R4,1462,2325,1850.00,7.522940918
T0,0,High -,R4,2102,2459,1103.00,7.005789019
T0,0,High -,R4,1957,2655,1018.00,6.925595197
T0,0,High -,R4,1977,2747,2653.00,7.883446354
T0,0,High -,R4,1465,2258,2692.00,7.898039691
T0,0,High -,R4,2490,2653,3690.00,8.213381737
T0,0,High -,R4,2020,2343,1722.00,7.451241685
T0,0,High -,R4,2333,3402,1287.00,7.160069208
T0,0,High +,R4,2032,2777,2314.00,7.746732908
T0,0,High +,R4,2037,2347,1237.00,7.120444372
T0,0,High +,R4,1872,2719,1524.00,7.329093736
T0,0,High +,R4,2083,2087,1854.00,7.525100746
T0,0,High +,R4,1737,2194,2446.00,7.802209316
T0,0,High +,R4,2518,3403,1261.00,7.139660336
T0,0,High +,R4,1636,2173,1507.00,7.317876199
T0,0,High +,R4,1521,2186,1098.00,7.001245622
T0,0,High +,R4,2189,2724,3045.00,8.02125618
T0,0,High +,R4,2040,2128,3227.00,8.079308192
T0,0,High +,R4,2309,3323,1029.00,6.936342736
T0,0,High +,R4,2194,3141,1615.00,7.387090236
T0,0,High +,R4,2134,3061,3441.00,8.143517406
T0,0,High +,R4,1656,1891,997.00,6.90475077
T0,0,High +,R4,1938,2567,3305.00,8.103191752
T0,0,High +,R4,2294,3158,1819.00,7.506042179
T0,0,High +,R4,1761,2543,1087.00,6.991176887
T0,0,High +,R4,2459,2885,1481.00,7.300472814
T0,0,High +,R4,1824,2369,1063.00,6.968850378
T0,0,High +,R4,1706,2742,1309.00,7.177018766
T0,0,High +,R4,2403,1757,1886.00,7.542213463
T0,0,High +,R4,2431,3225,1243.00,7.125283092
T0,0,High +,R4,1394,1893,1871.00,7.534228326
T0,0,High +,R4,2366,2877,1472.00,7.294377299
T0,0,High +,R4,2510,3848,4186.00,8.339500903
T0,0,High +,R4,2271,2949,983.00,6.89060912
T0,0,High +,R4,1810,3053,1520.00,7.326465614
T0,0,High +,R4,2174,2804,1390.00,7.237059026
T0,0,High +,R4,1947,2592,1488.00,7.305188215
T0,0,High +,R4,2074,2793,1285.00,7.158513997
T0,0,High +,R4,1825,3025,1058.00,6.964135612
T0,0,High +,R4,2009,2745,1494.00,7.309212366
T0,0,High +,R4,2267,2663,1630.00,7.396335294
T0,0,High +,R4,2102,2168,1988.00,7.594884387
T0,0,High +,R4,2106,2254,1174.00,7.068172
T0,0,High +,R4,2110,2700,1053.00,6.959398512
T0,0,High +,R4,1429,2123,1354.00,7.210818453
T0,0,High +,R4,1437,2340,2044.00,7.622663951
T0,0,High +,R4,2147,2163,3009.00,8.009363077
T0,0,High +,R4,1923,2040,1263.00,7.141245122
T0,0,High +,R4,1863,2385,1378.00,7.228388452
T0,0,High +,R4,1864,2971,1155.00,7.051855623
T0,0,High +,R4,2526,3215,1954.00,7.577633833
T0,0,High +,R4,2351,2942,1214.00,7.101675972
T0,0,High +,R4,2147,2358,996.00,6.903747258
T0,0,High +,R4,1694,2652,1174.00,7.068172
T0,0,High +,R4,1388,2058,1815.00,7.503840747
T0,0,High +,R4,2091,2784,2112.00,7.655390645
T0,0,High +,R4,1616,1371,2157.00,7.676473646
T0,0,High +,R4,1435,2171,1159.00,7.055312843
T0,0,High +,R4,2009,1954,2963.00,7.993957548
T0,0,High +,R4,1518,2256,874.00,6.773080376
T0,0,High +,R4,2256,3160,3276.00,8.094378445
T0,0,High +,R4,1861,2396,2457.00,7.806696373
T0,0,High +,R4,2230,2539,1743.00,7.463363046
T0,0,High +,R4,2094,2401,3030.00,8.016317899
T0,0,High +,R4,2217,3011,1015.00,6.922643891
T0,0,High +,R4,1913,2640,2874.00,7.963460067
T0,0,High +,R4,2342,2538,1558.00,7.351158226
T0,0,High +,R4,2159,2984,1198.00,7.088408779
T0,0,High +,R4,2455,3003,1784.00,7.486613313
T0,0,High +,R4,1736,2393,1550.00,7.34601021
T0,0,High +,R4,2301,2606,2145.00,7.670894831
T0,0,High +,R4,2472,2644,1834.00,7.514254653
T0,0,High +,R4,1508,1981,1105.00,7.007600614
T0,0,High +,R4,2119,2546,1628.00,7.395107547
T0,0,High +,R4,2824,3801,1284.00,7.157735484
T0,0,High +,R4,1953,2686,1436.00,7.26961675
T0,0,High +,R4,2726,3862,2918.00,7.978653729
T0,0,High +,R4,2155,2693,3484.00,8.155936338
T0,0,High +,R4,2402,2911,1419.00,7.257707677
T0,0,High +,R4,2213,2448,1674.00,7.422971251
T0,0,High +,R4,2002,2378,3251.00,8.08671792
T0,0,High +,R4,2110,2309,1977.00,7.589335823
T0,0,High +,R4,2055,2428,961.00,6.867974409
T0,0,High +,R4,2043,2878,1517.00,7.324489979
T0,0,High +,R4,1881,2468,2933.00,7.983781069
T0,0,High +,R4,2600,3378,1782.00,7.485491608
T0,0,High +,R4,1804,2688,3195.00,8.069342367
T0,0,High +,R4,1578,2284,863.00,6.760414691
T0,0,High +,R4,1902,2593,2788.00,7.933079772
T0,0,High +,R4,1878,2453,1349.00,7.207118856
T0,0,High +,R4,1768,2450,3121.00,8.045908742
T0,0,High +,R4,1475,2332,2614.00,7.868636894
T0,0,High +,R4,1760,2510,3106.00,8.041091004
T0,0,High +,R4,1755,2714,1731.00,7.456454555
T0,0,High +,R4,1865,2206,1443.00,7.274479559
T0,0,High +,R4,2250,3027,1129.00,7.029087564
T0,0,High +,R4,1944,2374,1325.00,7.189167738
T0,0,High +,R4,2156,2360,2808.00,7.940227765
T0,0,High +,R4,2029,2363,2220.00,7.705262475
T0,0,High +,R4,2057,2944,3699.00,8.215817792
T0,0,High +,R4,2567,2819,1067.00,6.972606251
T0,0,High +,R4,1975,2605,3653.00,8.203304027
T0,0,High +,R4,1373,1409,842.00,6.735780014
T0,0,High +,R4,1756,2486,1359.00,7.214504414
T0,0,High +,R4,2349,2286,1561.00,7.353081921
T0,0,High +,R4,1876,2255,1081.00,6.985641818
T0,0,High +,R4,2217,2599,1934.00,7.567345676
T0,0,High +,R4,2094,2646,1187.00,7.079184395
T0,0,High +,R4,2012,2373,1277.00,7.152268856
T0,0,High +,R4,2060,2539,1918.00,7.559038255
T0,0,High +,R4,2175,2230,1043.00,6.949856455
T0,0,High +,R4,2142,2955,1266.00,7.143617603
T0,0,High +,R4,2005,2935,1033.00,6.940222469
T0,0,High +,R4,1841,2319,1685.00,7.429520843
T0,0,High +,R4,2434,2994,1086.00,6.9902565
T0,0,High +,R4,1593,2565,912.00,6.81563999
T0,0,High +,R4,1701,1977,2080.00,7.640123173
T0,0,High +,R4,1318,1931,2033.00,7.617267814
T0,0,High +,R4,2022,2461,1192.00,7.083387848
T0,0,High +,R4,1519,2408,1328.00,7.19142933
T0,0,High +,R4,2257,3067,1836.00,7.515344571
T0,0,High +,R4,1767,2511,952.00,6.858565035
T0,0,High +,R4,2245,3087,2383.00,7.776115477
T0,0,High +,R4,2066,2648,3259.00,8.089175679
T0,0,High +,R4,2078,3219,1165.00,7.060476366
T0,0,High +,R4,2001,2222,1208.00,7.096721378
T0,0,High +,R4,2260,2439,1159.00,7.055312843
T0,0,High +,R4,2450,2828,1232.00,7.116394144
T0,0,High +,R4,2251,3160,1273.00,7.149131599
T0,0,High +,R4,2165,3223,1835.00,7.51479976
T0,0,High +,R4,1994,2859,1027.00,6.93439721
T0,0,High +,R4,2460,3059,1983.00,7.592366129
T0,0,High +,R4,1848,2687,941.00,6.84694314
T0,0,High +,R4,1733,2605,993.00,6.900730664
T0,0,High +,R4,1588,1940,1018.00,6.925595197
T0,0,High +,R4,1706,2004,1952.00,7.576609767
T0,0,High +,R4,1628,2515,1145.00,7.043159916
T0,0,High +,R4,1659,1730,1358.00,7.213768308
T0,0,High +,R4,1949,2136,2744.00,7.917171989
T0,0,High +,R4,2099,3050,3713.00,8.219595454
T0,0,High +,R4,1962,2495,2338.00,7.757051142
T0,0,High +,R4,2012,2693,2813.00,7.942006808
T0,0,High +,R4,1763,2569,2354.00,7.763871288
T0,0,High +,R4,1576,2332,974.00,6.881411304
T0,0,High +,R4,1735,2043,943.00,6.849066283
T0,0,High +,R4,2347,3152,2762.00,7.923710334
T0,0,High +,R4,2055,2484,1188.00,7.0800265
T0,0,High +,R4,2401,3351,3313.00,8.105609402
T0,0,High +,R4,2010,2558,1530.00,7.333023014
T0,0,High +,R4,2387,3092,1379.00,7.229113878
T0,0,High +,R4,1359,2068,1041.00,6.947937069
T0,0,High +,R4,2374,2916,1355.00,7.211556733
T0,0,High +,R4,2239,2387,2951.00,7.989899375
T0,0,High +,R4,2249,3394,2920.00,7.979338895
T0,0,High +,R4,2135,2724,2298.00,7.739794458
T0,0,High +,R4,2073,2281,1675.00,7.423568444
T0,0,High +,R4,1930,2804,928.00,6.833031733
T0,0,High +,R4,1980,2302,2154.00,7.675081858
T0,0,High +,R4,1820,2474,1450.00,7.279318835
T0,0,High +,R4,2272,2388,2623.00,7.87207398
T0,0,High +,R4,2561,3291,1757.00,7.471363088
T0,0,High +,R4,2300,3285,1613.00,7.385851078
T0,0,High +,R4,1917,2419,992.00,6.899723107
T0,0,High +,R4,1735,2093,1330.00,7.192934221
